Date,Type,Flight Number,Ident,Departure,Enroute,Arrival,Duration,ASEL,AMEL,ASES,AMES,Heli,Experi-mental,Light Sport,Glider,Balloon,Lighter Than Air,Day,Night,Day Land,Night Land,Actual Inst.,Simulated Inst.,FTD,Num App..,X-C,X-C > 50,Solo,Dual Rec'd,Dual Given,PIC,SIC,FAR 61,FAR 141,FAR 91,FAR 121,FAR 135,High Perf.,Complex,Tail Wheel,Jet,Flight Review?,Remarks,
12/4/2022,E-Jet,AA4785,N403YX,KCLE,,KLGA,1.4,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freddy Cabrera,
12/12/2022,E-Jet,DL5605,N211JQ,KBOS,,KBWI,1.4,,1.4,,,,,,,,,,,1,,0.6,,,1,,,,,,,,,,,,,,,,,,Etay (E-tie) Charit -,
12/12/2022,E-Jet,DL5605,N211JQ,KBWI,,KBOS,1.5,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Etay (E-tie) Charit -,
12/13/2022,E-Jet,DL5681,N223JQ,KBOS,,KEWR,1.5,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHRISTOPHER HOUSTON,
12/13/2022,E-Jet,DL5681,N223JQ,KEWR,,KBOS,1.3,,1.3,,,,,,,,,,,1,,0.3,,,1,,,,,,,,,,,,,,,,,,CHRISTOPHER HOUSTON,
12/13/2022,E-Jet,DL5611,N244JQ,KBOS,,KLGA,1.4,,1.4,,,,,,,,,,,1,,0.3,,,1,,,,,,,,,,,,,,,,,,CHRISTOPHER HOUSTON,
1/17/2023,E-Jet,DL5599,N208JQ,KBOS,,KDCA,1.6,,1.6,,,,,,,,,,,1,,0.7,,,1,,,,,,,,,,,,,,,,,,DAVID ALLARD JR,
1/17/2023,E-Jet,DL5855,N208JQ,KDCA,,KBOS,1.5,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAVID ALLARD JR,
1/18/2023,E-Jet,AA4360,N431YX,KBOS,,KJFK,1.3,,1.3,,,,,,,,,,,1,,0.8,,,1,,,,,,,,,,,,,,,,,,MICHAEL ANDERSON,
1/18/2023,E-Jet,AA4640,N431YX,KJFK,,KPIT,1.9,,1.9,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,JOSEPH KOTCHEY,
2/3/2023,E-Jet,DL5823,N222JQ,KCLT,,KBOS,2.3,,2.3,,,,,,,,,,,1,,0.5,,,1,,,,,,,,,,,,,,,,,,BRADLEY TRENT,
2/17/2023,E-Jet,DL3392,N228JQ,KBOS,,KRDU,2.4,,2.4,,,,,,,,,,,1,,2.4,,,1,,,,,,,,,,,,,,,,,,SALMAN ABBAS ALBANNA,
2/17/2023,E-Jet,DL3393,N228JQ,KRDU,,KBOS,1.8,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SALMAN ABBAS ALBANNA,
2/20/2023,E-Jet,DL5599,N204JQ,KBOS,,KDCA,1.9,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sabih Tayyab,
3/7/2023,E-Jet,DL5751,N216JQ,KBOS,,KRIC,1.9,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JOHN WILSON,
3/8/2023,E-Jet,DL5730,N227JQ,KRIC,,KBOS,1.7,,1.7,,,,,,,,,,,1,,0.5,,,1,,,,,,,,,,,,,,,,,,JOHN WILSON,
3/8/2023,E-Jet,DL5632,N214JQ,KBOS,,KJFK,1.3,,1.3,,,,,,,,,,,1,,0.5,,,1,,,,,,,,,,,,,,,,,,JOHN WILSON,
3/8/2023,E-Jet,DL5679,N239JQ,KJFK,,KCMH,1.7,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JOHN WILSON,
3/12/2023,E-Jet,DL5824,N239JQ,KBOS,,KJAX,2.9,,2.9,,,,,,,,,,,1,,2.9,,,1,,,,,,,,,,,,,,,,,,John MINIHANE,
3/12/2023,E-Jet,DL5824,N239JQ,KJAX,,KBOS,2.4,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John MINIHANE,
3/16/2023,E-Jet,DL5719,N860RW,KCLT,,KLGA,2.4,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHRISTOPHER WOOD,
